ExitSpeed,Angle,PitchCall,TaggedHitType,PlayResult,Outcome
51.02917,37.186854,InPlay,FlyBall,Out,Out
58.94653,41.80959,InPlay,FlyBall,Out,Out
52.62558,-13.644409,InPlay,GroundBall,Out,Out
63.40501,-14.361706,InPlay,GroundBall,Out,Out
35.4357,-36.058144,InPlay,GroundBall,Out,Out
66.81132,7.525668,InPlay,LineDrive,Single,Single
72.4352,-20.643482,InPlay,GroundBall,Double,XBH
61.00191,18.045258,InPlay,LineDrive,Double,XBH
63.4326,9.62713,InPlay,LineDrive,Single,Single
63.36372,-29.460539,InPlay,GroundBall,Out,Out
42.20866,87.33669,InPlay,Popup,Out,Out
64.78114,-44.694999,InPlay,GroundBall,Out,Out
79.33047,-12.47054,InPlay,GroundBall,Out,Out
53.52024,9.630924,InPlay,GroundBall,Out,Out
46.67541,84.881365,InPlay,Popup,Out,Out
66.32614,-55.77523,InPlay,GroundBall,Single,Single
64.90252,-12.272196,InPlay,GroundBall,Fielderschoice,Out
63.43506,18.172878,InPlay,LineDrive,Single,Single
19.97345,-8.179777,InPlay,GroundBall,Out,Out
52.54598,15.045912,InPlay,LineDrive,Double,XBH
67.85357,5.489714,InPlay,LineDrive,Double,XBH
68.10051,12.42663,InPlay,LineDrive,Double,XBH
70.99307,26.535078,InPlay,FlyBall,Homerun,Homerun
65.80261,1.672675,InPlay,LineDrive,Single,Single
61.85817,-9.89765,InPlay,GroundBall,Out,Out
51.57256,-40.642333,InPlay,GroundBall,Out,Out
51.84335,-4.732438,InPlay,GroundBall,Single,Single
56.15418,-8.643418,InPlay,GroundBall,Fielderschoice,Out
77.86417,8.648783,InPlay,LineDrive,Single,Single
43.63032,34.625843,InPlay,Popup,Out,Out
54.57969,45.15075,InPlay,FlyBall,Out,Out
48.49075,60.423027,InPlay,Popup,Out,Out
51.35187,18.938607,InPlay,LineDrive,Single,Single
39.5991,-17.864048,InPlay,GroundBall,Out,Out
62.03364,16.957736,InPlay,LineDrive,Out,Out
60.94193,50.30438,InPlay,FlyBall,Out,Out
64.44312,-18.259248,InPlay,GroundBall,Out,Out
36.44129,-45.120974,InPlay,GroundBall,Out,Out
54.57282,21.390586,InPlay,LineDrive,Single,Single
